ID,Recipient,Amount,Currency
723,Laura Wood,9668.65,SGD
724,Manuel Dunlap,972.37,NZD
725,Andrew Scott,6187.99,JPY
726,Corey Vargas,3327.55,JPY
727,Andrew Dunn,8033.74,ILS
728,Jason Allen,3327.7,AUD
729,Bryan Smith,3744.41,BRL
730,Bianca Willis,2571.14,MXN
731,Daniel Hughes,5995.88,GBP
732,Shane Russell,9854.22,SGD
733,Kevin Moore,624.58,ZAR
734,Todd Warner,6634.44,NZD
735,Ryan Mosley,1430.08,SGD
736,Robert Page,1131.04,JPY
737,Natalie Graham,5408.77,KRW
738,Robert Williamson,8319.91,DKK
739,Dr. Kaitlin Young,2829.23,GBP
740,Rachel Reynolds,7329.8,CAD
741,Joseph Peterson,6225.48,ILS
742,Brenda Watts,4634.06,HKD
743,Lori Ramirez,1010.46,GBP
744,Lisa Norris,8338.32,SEK
745,Anthony Jones,6245.67,BRL
746,Robert Rodriguez,9934.35,SGD
747,Jose Anderson,9446.33,NOK
748,Amy Lara,9262.68,KRW
749,Kara Bean,3194.13,BRL
750,Jacob Gray,827.28,INR
751,Jennifer Brown,5105.23,SEK
752,Sydney Brown,4655.79,ZAR
753,Jennifer Hopkins,8837.51,GBP
754,Kimberly Macdonald,7992.76,JPY
755,Amanda Schneider,7542.22,SGD
756,Jason Jackson,1338.17,HKD
757,David Carlson,9186.23,HKD
758,Denise Williams,7433.98,HKD
759,Kaitlyn Lane,6120.61,KRW
760,Andrew Cooper,5417.98,HKD
761,James Hughes,1017.65,NZD
762,Stanley Ali,7896.4,SEK
763,Brandon Velazquez,3205.64,ILS
764,Crystal Garrett,9441.4,SGD
765,Kathleen Hensley,5603.58,PLN
766,Casey Hill,2933.35,AUD
767,Darryl Phelps,3537.46,MXN
768,Nicole Jones,3569.8,HKD
769,William Curry,5949.39,SGD
770,Alec Khan,2039.78,GBP
771,Kyle Mclaughlin,9323.34,AUD
772,Joshua Weiss,1059.09,CHF
773,Joy Edwards,6155.49,ZAR
774,Jennifer Rodriguez,1675.48,NZD
775,Brian Howell,4003.94,JPY
776,Jeff Hernandez,5897.21,MXN
777,Courtney Nelson,947.62,NZD
778,Nicholas Clark,9820.56,KRW
779,Glen Johnson,9440.25,EUR
780,Lori Obrien,8734.03,ILS
781,Lisa Simmons,5924.3,NZD
782,Thomas Brown,2709.8,AUD
783,Peter Price,5690.5,SEK
784,Warren Mason,1376.31,ILS
785,Kelly Ruiz,5994.1,AUD
786,Madison Soto,5364.85,JPY
787,Jerry Dennis,1616.45,DKK
788,Melissa Griffin,4082.68,ILS
789,Pamela Collins,6651.8,HKD
790,Kayla Henderson,3591.53,PLN
791,William Bennett,7250.81,ZAR
792,Brittany Rogers,4116.19,SEK
793,Alexander Bush,6780.63,DKK
794,Melissa Marquez,6262.47,PLN
795,Robert Klein,3804.34,NZD
796,Randall Pugh,6805.07,KRW
797,Walter Brennan,5449.38,DKK
798,April Malone,2967.89,CAD
799,Amanda Kennedy,4721.11,HKD
800,Michael Henderson,9486.62,INR
801,Tracy Glenn,3535.45,CHF
802,Heather Smith,768.47,ILS
803,Eric Bird,8124.82,JPY
804,Rachel Gray,9762.8,PLN
805,James Chambers,8882.97,AUD
806,Alicia Rodriguez,2727.63,GBP
807,Christopher Hines,3524.46,DKK
808,Douglas Smith,4106.83,NOK
809,Shane Fox,5108.43,INR
810,Brianna Nolan,1485.35,MXN
811,Vicki Hoffman,9972.71,KRW
812,Linda Weiss,6493.92,USD
813,Lisa Mcfarland,7642.98,CAD
814,Lee Russell,55.72,DKK
815,Mrs. Jessica Vazquez DDS,8751.35,NOK
816,Miguel Chandler,5247.52,BRL
817,Travis Vasquez,4324.11,CAD
818,David Johnson,5764.99,PLN
819,Christian Leach,8271.36,SEK
820,Traci Gentry,3014.8,GBP
821,Alec Zhang,3399.07,CAD
822,Stacy Franklin,5324.04,USD
823,Erica Anderson,3550.01,NZD
824,Sarah Smith,7392.28,CAD
825,Bryan Thomas,6875.06,SEK
826,Vickie Jarvis,5376.43,SGD
827,Stephanie Davis,886.53,INR
828,Daniel Baker,5836.92,GBP
829,Candice Moore,8950.4,EUR
830,Sabrina Lopez,5575.33,SEK
831,Justin Kennedy,19.16,JPY
832,Kathryn Owens,7270.57,SGD
833,Jennifer Gregory,4457.95,ILS
834,Jennifer Long,6246.01,ZAR
835,Kristin Wilson,9626.28,GBP
836,Caitlyn Watson,4929.57,ZAR
837,Miranda Mckee,5540.51,EUR
838,Sierra Taylor,7706.87,CAD
839,Timothy Williamson,77.83,NZD
840,Benjamin Lopez,6785.25,NOK
841,Alfred Johnson,5196.97,ZAR
842,Timothy Austin,545.25,NOK
843,Barbara Blackburn,799.21,ZAR
844,Luis Jackson,2696.81,NOK
845,Thomas Fowler,3388.59,NZD
846,Margaret Hunter,4325.34,EUR
847,Destiny Bird,4848.54,ZAR
848,Christopher Atkins,738.86,BRL
849,William Zamora,4755.22,AUD
850,Lauren Phelps DDS,4334.88,DKK
851,David Knight,7460.3,MXN
852,Nicole Santiago,8966.65,NOK
853,James Matthews,3610.77,KRW
854,Christina Reed,1629.58,BRL
855,Matthew Marquez,9733.44,USD
856,Holly Hernandez,4119.16,BRL
857,Justin Wood,868.3,MXN
858,Monique Miller,793.7,ZAR
859,Amanda Taylor,3554.25,SEK
860,Anna Greene,4949.75,MXN
861,Lance Franklin,1304.47,EUR
862,April Johnson,2026.08,EUR
863,Courtney Gonzalez,7346.8,ZAR
864,Gary Blair,8667.18,KRW
865,Elizabeth Lopez,3059.77,HKD
866,Russell Boyd II,7452.59,CAD
867,Wanda Johnson,6105.6,HKD
868,Brian Mueller,4222.05,GBP
869,Anna Keith,5097.16,ZAR
870,Taylor Martinez,8151.12,DKK
871,Tonya Jones,570.48,EUR
872,Miss Pamela Little,3999.1,KRW
873,Dr. Tyrone Walsh,8442.65,AUD
874,Ashley White,4873.19,ZAR
875,Joseph Harrington,5048.82,NOK
876,Laura Moore,3484.89,BRL
877,Ian Sloan,838.52,KRW
878,Ryan Beck,3893.41,MXN
879,Julie Austin,3822.68,EUR
880,Justin Snyder,9479.18,CHF
881,Christopher Greer,1046.55,AUD
882,Christian Colon,1738.85,NZD
883,Deborah Blair,8890.38,EUR
884,Robert Martinez,8378.2,SGD
885,Holly Dudley,5478.34,CHF
886,Jay Salazar,2112.05,NZD
887,Tina Roach,7048.6,MXN
888,Tanya Richards,5098.33,NOK
889,Richard Braun,1298.56,EUR
890,James King,6270.12,CHF
891,Sarah Wilson,3628.24,ZAR
892,Dr. Brandon Davis,3773.73,PLN
893,Lee White,1673.8,HKD
894,Mrs. Christine Potter,9814.55,PLN
895,Dominique Houston,3573.49,NOK
896,Shannon Frazier,4576.07,GBP
897,Misty Payne DVM,3164.36,BRL
898,Justin Mendoza,392.5,AUD
899,Audrey Morton,9451.11,GBP
900,Sharon Miranda,7250.8,MXN
901,Michelle Williams,1507.6,SEK
902,Melissa Fowler,3395.62,JPY
903,Michele Hill,4970.04,BRL
904,Ms. Julie Cruz,7932.56,CHF
905,Deborah Wells,3675.67,NZD
906,Alice Russell,9793.71,CAD
907,Katrina Rogers,5334.38,INR
908,Andrew Beck,9443.02,BRL
909,Amanda Mcconnell,1077.97,GBP
910,Curtis Jones,2836.61,CHF
911,Lisa Lewis,6883.23,PLN
912,Elizabeth Randolph,4516.18,HKD
913,Daniel Hoffman,1708.15,PLN
914,Keith Brown,9760.99,GBP
915,Emily Dixon,4018.88,NZD
916,Christopher Scott,4455.77,KRW
917,Courtney Atkins,4895.43,NOK
918,Christopher Jones,1606.0,HKD
919,John Cox,2679.27,AUD
920,Calvin Butler,4944.29,SEK
921,Jonathan Rosales,8675.79,JPY
922,Shannon Strickland,5042.68,AUD
923,Amanda Wagner,3121.42,SGD
924,Mr. Kevin Murphy II,1794.8,HKD
925,Kimberly Thomas,8030.8,CHF
926,Kenneth Scott,1555.53,AUD
927,Kevin Garcia,3879.05,EUR
928,Kelly Williams,4100.89,ILS
929,David Turner,9844.46,GBP
930,Sherry Saunders,9944.77,DKK
931,Gabriel Travis,8661.18,HKD
932,James Smith,4194.41,SEK
933,Lisa Davis,5819.22,EUR
934,Haley Wells,5817.82,KRW
935,Laura Sullivan,1605.76,CAD
936,Alexandra Johnson,202.18,PLN
937,Dr. Patrick Shaffer,1321.22,CAD
938,Beth Gonzalez,6910.2,HKD
939,Kristin Black,8815.86,AUD
940,Shannon Williams,8243.75,NOK
941,Jamie Barnes,5834.2,ILS
942,Renee Diaz,2250.97,USD
943,Benjamin Oconnell,103.09,EUR
944,Catherine Wise,5167.17,EUR
945,Jeffrey Martin DVM,4255.91,NZD
946,James White,7629.69,USD
947,Heidi Parker,7728.4,AUD
948,Tracey Delacruz,3500.48,ZAR
949,Scott Johnson,5163.35,USD
950,Tyler Mcneil,7313.77,CAD
951,Nathan Jennings,1568.31,SEK
952,Emily Flynn,2652.0,AUD
953,Kimberly Hill,504.26,HKD
954,Tommy Tucker,1451.71,CHF
955,Wendy Buck,4433.04,KRW
956,Carlos Turner,9021.74,AUD
957,Andre Jacobs,2626.77,CAD
958,Michelle Carter,3655.27,HKD
959,Joseph Ramirez,3607.2,JPY
960,Ryan Leonard,4434.97,NZD
961,Steven Austin,4920.56,CHF
962,Stephen Simon,3213.81,MXN
963,Henry Lucas,8250.36,CAD
964,Jill Gardner,4163.75,DKK
965,Stephanie Mcmahon,5795.33,INR
966,Jason Arnold,3137.83,ZAR
967,Vanessa Saunders,1219.83,EUR
968,Brian Robinson,7886.87,EUR
969,Elizabeth Archer,7861.45,INR
970,Tammy Griffin,2213.13,ILS
971,Jodi Mitchell,3685.23,EUR
972,Ashley Ross,5792.23,SGD
973,Taylor Banks,3928.75,KRW
974,Timothy Webster,5182.24,CAD
975,Andrew Wilcox,362.16,KRW
976,Christopher Haas,8363.77,KRW
977,Andrew Powell,1150.02,NOK
978,Brenda Reed,6380.76,PLN
979,Nicole Vang,3384.19,KRW
980,Yvette Flynn,4883.01,NZD
981,Todd Nielsen,9038.55,KRW
982,Theresa Wright,2049.99,HKD
983,Norma Garcia,3196.78,INR
984,Gabrielle Savage,1759.68,KRW
985,Lance Jones,8396.72,EUR
986,David Morris,5971.04,NOK
987,Jade Mendez,8346.83,SGD
988,Jeffrey Hansen,8928.04,KRW
989,Amber Acosta,8349.46,GBP
990,Rebecca Perez,5489.3,CAD
991,Stephen Contreras,3698.0,GBP
992,Sean Miller,797.24,INR
993,Justin Harris,4637.39,KRW
994,Ronald Smith,4124.71,MXN
995,Chad Fowler,303.95,EUR
996,Crystal Johnson,5968.26,BRL
997,Ashley Wilkerson,416.48,CHF
998,Kevin Reid,3232.0,GBP
999,Janice Perkins,5811.66,KRW
1000,Ashley Carr,6030.17,CAD
